Pe Nome Razaosocial,Pe Cpf Cnpj,Tb Pessoa Doc Certidao → Pdc Texto Pendencia,Tb Documento Certidao - Dc → Dc Titulo,Tb Solicitacao - So → So Situacao,Tb Marca Representacao - Mr → Mr Nome
LINHA AMBIENTAL CONSULTORIA EM NEGOCIOS E MEIO AMBIENTE LTDA.,11394929000169,"DCTFWEB: A auditoria e validação desses arquivos só serão realizadas após a inclusão das CCTs locais corretas (ex: Vitória/ES), permitindo o devido cruzamento das bases de cálculo e riscos locais.",DCTFWEB,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"GFD - GUIA DO FGTS DIGITAL MENSAL - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"DCTFWEB - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",DCTFWEB,APROVADO,05/26 - Maio 2026
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 12/25 - Dezembro 2025:

A ausência da CCT vigente inviabiliza a validação dos pisos salariais da folha (Art. 611-A da CLT). Consequentemente, impossibilita atestar a exatidão das bases de cálculo informadas nas guias de recolhimento previdenciário (Lei 8.212/91) e fundiário (Lei 8.036/90). É obrigatório o envio da norma coletiva (CCT/ACT) do período para auditoria integral das guias.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,12/25 - Dezembro 2025
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 01/26 - Janeiro 2026:

A ausência da CCT vigente inviabiliza a validação dos pisos salariais da folha (Art. 611-A da CLT). Consequentemente, impossibilita atestar a exatidão das bases de cálculo informadas nas guias de recolhimento previdenciário (Lei 8.212/91) e fundiário (Lei 8.036/90). É obrigatório o envio da norma coletiva (CCT/ACT) do período para auditoria integral das guias.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,01/26 - Janeiro 2026
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 03/26 - Março 2026:

A ausência da CCT vigente inviabiliza a validação dos pisos salariais da folha (Art. 611-A da CLT). Consequentemente, impossibilita atestar a exatidão das bases de cálculo informadas nas guias de recolhimento previdenciário (Lei 8.212/91) e fundiário (Lei 8.036/90). É obrigatório o envio da norma coletiva (CCT/ACT) do período para auditoria integral das guias.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,03/26 - Março 2026
ECOTECH ASSESSORIA AMBIENTAL LTDA,03872184000178,"GFD - GUIA DO FGTS DIGITAL MENSAL - 02/26 - Fevereiro 2026:

A ausência da CCT vigente inviabiliza a validação dos pisos salariais da folha (Art. 611-A da CLT). Consequentemente, impossibilita atestar a exatidão das bases de cálculo informadas nas guias de recolhimento previdenciário (Lei 8.212/91) e fundiário (Lei 8.036/90). É obrigatório o envio da norma coletiva (CCT/ACT) do período para auditoria integral das guias.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,02/26 - Fevereiro 2026
BROOKS AMBIENTAL LTDA,03938048000133,"IBAMA - Certidão Negativa de Débitos.

Documento anexado não confere com  certidão de NEGATIVA DE DÉBITOS.",IBAMA - Certidão Negativa de Débitos,APROVADO,
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,"CERTIDÃO NEGATIVA RECEITA MUNICIPAL, documento divergente, deve ser enviado o documento solicitado.",CERTIDÃO NEGATIVA RECEITA MUNICIPAL,APROVADO,02/26 - Fevereiro 2026
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,"SESMT - composição de acordo com NR 04 - 06/26 - Junho 2026 - Envie a justificativa de não enquadramento, contendo documento que comprove o número atual de colaboradores e o grau de risco da empresa, demonstrando a não obrigatoriedade pela norma.",SESMT - composição de acordo com NR 04,APROVADO,06/26 - Junho 2026
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,"PCMSO - 03/26 - Março 2026 - O PCMSO da Matriz (Salvador) não atende a filial do Aeroporto de Florianópolis. O documento diverge do inventário do PGR por omitir a exposição ocupacional a agentes físicos (radiação UV) e químicos (gases de combustão), deixando de prever os exames complementares e o monitoramento biológico obrigatórios por lei.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,Seguro de Responsabilidade Civil - 06/26 - Junho 2026 - Deve ser enviado o documento solicitado,Seguro de Responsabilidade Civil,APROVADO,06/26 - Junho 2026
SMS ESTACIONAMENTOS E SERVICOS LTDA,03528489000167,Seguro garantia - 06/26 - Junho 2026 Deve ser enviado o documento solicitado.,Seguro garantia,APROVADO,06/26 - Junho 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,APROVADO,05/26 - Maio 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 05/26 - Maio 2026: 

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,05/26 - Maio 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"DCTFWEB - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",DCTFWEB,APROVADO,05/26 - Maio 2026
TELETEX COMPUTADORES E SISTEMAS LTDA,79345583000142,"GFD - GUIA DO FGTS DIGITAL MENSAL - 05/26 - Maio 2026:

Devido à ausência da Convenção Coletiva de Trabalho (CCT) da categoria para o período correspondente, e por dependência regulatória e falta de base comparativa legal (Art. 511 da CLT), torna-se tecnicamente inviável auditar e homologar os valores apresentados na Folha de Pagamento (FOPAG), DCTFWeb, Guia do FGTS (GFD), Kit Rescisão e GRRF.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"PCMSO - 05/26 - Maio 2026: 

O ACT oficial enviado rege a operação do Aeroporto de Natal/RN, mas o PGR/PCMSO são exclusivos de Florianópolis/SC. Havendo prestação de serviços em estados distintos, a empresa deve obrigatoriamente apresentar os programas ambientais e médicos correspondentes a cada região de atuação. Conforme o Art. 611-A da CLT e o Princípio da Territorialidade, as normas coletivas e programas de SST aplicam-se estritamente à base geográfica de execução dos serviços.",PCMSO - GERAL,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"Há uma inconsistência de integração com o PCMSO (pág. 13) - o programa médico exige exames de ""Audiometria"" para Auxiliares de Serviços Gerais, mas este laudo e o PGR não indicam exposição a ruído acima do Nível de Ação (80 dB) para a função. Alinhar com o médico coordenador para retificar os programas. Após a correção será realizada nova análise.",Laudo de Periculosidade,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"Laudo de insalubridade - 05/26 - Maio 2026.

 Há uma inconsistência de integração com o PCMSO (pág. 13) - o programa médico exige exames de ""Audiometria"" para Auxiliares de Serviços Gerais, mas este laudo e o PGR não indicam exposição a ruído acima do Nível de Ação (80 dB) para a função. Alinhar com o médico coordenador para retificar os programas. Após a correção será realizada nova análise.",Laudo de insalubridade,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"PCMSO - 05/26 - Maio 2026:

O programa não apresenta a assinatura digital ou física do Médico do Trabalho Coordenador nos campos principais, invalidando sua consistência jurídica. Também, há inconsistência no resumo de exames (pág. 13), que exige ""Audiometria"" para Auxiliares de Serviços Gerais sem que o PGR comprove exposição a ruído acima do Nível de Ação (80dB). Regularizar assinaturas e alinhar exames para nova análise.",PCMSO - GERAL,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"PGR - 05/26 - Maio 2026:

Ausência das assinaturas físicas ou digitais (padrão ICP-Brasil) do Engenheiro de Segurança do Trabalho nas páginas finais de encerramento (pág. 96 e 99), o que compromete sua validade legal perante a NR-1. Além disso, o arquivo deve ser reapresentado com o  Plano de Ação  (cronograma de metas e treinamentos) completo e anexo. Providenciar correções para nova análise.",PGR - GERAL,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"CIPA - composição / reuniões / atas/ treinamento - Maio 2026

O certificado atesta a indicação e o treinamento do designado, mas não garante a conformidade fiscal trabalhista isoladamente. Para validar a regularidade da CIPA, a empresa deve anexar obrigatoriamente: 1) As atas mensais de inspeção de risco e reuniões assinadas pelo designado (NR-5, Item 5.6.1); 2) Comprovantes de envio dos eventos de SST ao eSocial; e 3) Canal de denúncias e regras de conduta contra o assédio (Lei 14.457/22).",CIPA - composição / reuniões / atas/ treinamento,APROVADO,05/26 - Maio 2026
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,"Avaliação ergonômica - 05/26 - Maio 2026.

A AET apresentada foi elaborada em abril de 2023, o que invalida sua conformidade legal perante as Normas Regulamentadoras NR-1 e NR-17. Como os demais programas da unidade (PGR, PCMSO e Laudos) são de março de 2026, a avaliação ergonômica está desatualizada. Revisar e emitir uma nova via da AET com linha de base em 2026 para nova análise.",Avaliação ergonômica,APROVADO,05/26 - Maio 2026
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento - 01/26 - Janeiro 2026.

*Erro grave no texto do certificado: o período de realização do curso consta como maio/2026 a maio/2027 (incoerência  para  20h de carga ).

* Solicitar assinatura do colaborador nos documentos.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,01/26 - Janeiro 2026
GRABER SEGURANCA LTDA,87169900001117,"Seguro garantia - 05/26 - Maio 2026.

Após a inclusão do documento assinado, será realizada nova análise para aprovação.",Seguro garantia,APROVADO,05/26 - Maio 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"CONVENÇÃO COLETIVA DA CATEGORIA:

A CCT da Construção Civil (SITICOM) aplica-se só ao pessoal da obra (Construção do Estacionamento). Para a equipe das linhas de Manutenção Técnica e Manutenção 400HZ, deve-se adotar a CCT de Prestação de Serviços/Manutenção (Art. 511, CLT). Sem essa divisão por atividade preponderante, há grave risco de passivo por enquadramento incorreto. Devido ao erro na  na base regulatória, recomenda-se adequar para nova análise.",CONVENÇÃO COLETIVA DA CATEGORIA GERAL,APROVADO,
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"Avaliação ergonômica:

 Avaliação Ergonômica Completa dispensada (AET), desde que realize e integre a Avaliação Ergonômica Preliminar (AEP) dentro do seu PGR (NR-17, item 17.3.1.1).
Após a correção de PCMSO/PGR será realizada nova análise.",Avaliação ergonômica,APROVADO,
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"Laudo de Periculosidade - 04/26 - Abril 2026.

O LIP reconhece direito à periculosidade (30% - Eletricidade) para técnicos operacionais, mas o PGR da Rachadel omitiu as frentes específicas de Manutenção 400HZ, Manutenção Técnica e Obra do Estacionamento. Essa falta de sincronismo viola a NR-01. Sem o plano de ação no PGR para mitigar ou isolar os riscos elétricos e de altura detectados no LIP, a empresa fica exposta a passivos trabalhistas.",Laudo de Periculosidade,APROVADO,04/26 - Abril 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"Laudo de insalubridade - 04/26 - Abril 2026.

O LIP reconhece direito à periculosidade (30% - Eletricidade) para técnicos operacionais, mas o PGR da Rachadel omitiu as frentes específicas de Manutenção 400HZ, Manutenção Técnica e Obra do Estacionamento. Essa falta de sincronismo viola a NR-01. Sem o plano de ação no PGR para mitigar ou isolar os riscos elétricos e de altura detectados no LIP, a empresa fica exposta a passivos trabalhistas.",Laudo de insalubridade,APROVADO,04/26 - Abril 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"PGR - 04/26 - Abril 2026:

Laudo rejeitado por nulidade estrutural. O PGR unificou a empresa em um escopo genérico de tecnologia, omitindo o Inventário de Riscos e o Plano de Ação específicos para a obra civil e para os perigos elétricos severos da linha de Manutenção 400HZ (NR-10 e NR-35), violando a NR-01. A falta de CNO/CNPJ da obra quebra o nexo geográfico e impede a carga correta do evento S-2240 no eSocial. Exige-se reemissão fracionada por frente.",PGR - GERAL,APROVADO,04/26 - Abril 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"PCMSO - 04/26 - Abril 2026:

Programa rejeitado por inadequação de escopo. O PCMSO falha ao não segmentar os exames médicos conforme as frentes operacionais (Obra do Estacionamento vs Linhas de Manutenção), contrariando a NR-07. Além disso, prevê exames complexos (ECG, Psicossocial) de forma genérica, sem nexo com os riscos reais de escritório ou apontamento claro de um Médico Coordenador. Invalida o envio do evento S-2220 ao eSocial. Exige-se revisão.",PCMSO - GERAL,APROVADO,04/26 - Abril 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"CIPA - composição / reuniões / atas/ treinamento:

A legislação exige obrigatoriamente que a empresa nomeie um funcionário como ""CIPA Designado"" (NR-05, item 5.4.13) e comprove que ele realizou o treinamento anual de prevenção. A ausência dessa nomeação e do certificado de treinamento gera infração trabalhista.
Após a correção de documentos, será realizada nova análise.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 01/26 - Janeiro 2026,

Folha rejeitada por erro de base regulatória. Como a empresa utilizou a CCT da Construção Civil de forma irrestrita, as remunerações de janeiro/2026 e o FGTS são nulos para o pessoal de manutenção técnica e 400HZ (Art. 511, CLT). Após a alteração/correção da CCT será realizada nova análise.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,01/26 - Janeiro 2026
RACHADEL SERVICOS E TECNOLOGIA LTDA,48860659000144,"GFD - GUIA DO FGTS DIGITAL MENSAL - 01/26 - Janeiro 2026.

O valor recolhido de R$ 1.597,40 (competência 01/2026) incide sobre salários definidos por enquadramento sindical incorreto (CCT SITICOM/Construção Civil), violando o Art. 511 da CLT. A falta de fracionamento das bases e a não alocação correta de trabalhadores por tomador de serviço/CNO geram recolhimentos previdenciários nulos.
Após a correção será realizada nova análise.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,01/26 - Janeiro 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"PGR - 05/26 - Maio 2026:    O ACT  enviado rege a operação do Aeroporto de Natal/RN, mas o PGR/PCMSO são exclusivos de Florianópolis/SC. Havendo prestação de serviços em estados distintos, a empresa deve obrigatoriamente apresentar os programas ambientais e médicos correspondentes a cada região de atuação. Conforme o Art. 611-A da CLT e o Princípio da Territorialidade.",PGR - GERAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"CIPA - composição / reuniões / atas/ treinamento.

Documento em anexo não trata-se da documentação necessária para  análise das conformidades da CIPA.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"GFD - GUIA DO FGTS DIGITAL MENSAL - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"CONVENÇÃO COLETIVA DA CATEGORIA:

O arquivo CCT encontra-se, sem  Número de Registro emitido pelo sistema Mediador do Ministério do Trabalho e Emprego (MTE). A ausência desse elemento impede a verificação da eficácia e vigência legal do instrumento. Exige-se o envio do Acordo Coletivo de Trabalho (ACT) em seu modelo oficial definitivo, extraído diretamente do portal do MTE, com as devidas assinaturas dos responsáveis.",CONVENÇÃO COLETIVA DA CATEGORIA GERAL,APROVADO,
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"PCMSO - 05/26 - Maio 2026: 

O ACT oficial enviado rege a operação do Aeroporto de Natal/RN, mas o PGR/PCMSO são exclusivos de Florianópolis/SC. Havendo prestação de serviços em estados distintos, a empresa deve obrigatoriamente apresentar os programas ambientais e médicos correspondentes a cada região de atuação. Conforme o Art. 611-A da CLT e o Princípio da Territorialidade, as normas coletivas e programas de SST aplicam-se estritamente à base geográfica de execução dos serviços.",PCMSO - GERAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"PGR - 05/26 - Maio 2026:    O ACT  enviado rege a operação do Aeroporto de Natal/RN, mas o PGR/PCMSO são exclusivos de Florianópolis/SC. Havendo prestação de serviços em estados distintos, a empresa deve obrigatoriamente apresentar os programas ambientais e médicos correspondentes a cada região de atuação. Conforme o Art. 611-A da CLT e o Princípio da Territorialidade.",PGR - GERAL,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"DCTFWEB - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",DCTFWEB,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Avaliação ergonômica - 05/26 - Maio 2026.

A Análise Ergonômica do Trabalho (AET) apresentada vincula-se ao Aeroporto de Florianópolis/SC, divergindo da base DA CCT anexada, Após a inclusão da CCT alinhada com programas de PCMSO/PGR será realizada nova análise.",Avaliação ergonômica,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO) - 05/26 - Maio 2026:

Após a atualização/alteração do arquivo da CCT, será realizada nova análise.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Laudo de Periculosidade - 05/26 - Maio 2026:  Após a regularização de CCT, PCMSO/PGR,  será realizada nova análise. 
Documentos devem estar alinhados com a mesma localidade, onde é realizado serviços, e alocados os colaboradores cobertos pela proteção dos programas de segurança.",Laudo de Periculosidade,APROVADO,05/26 - Maio 2026
ONET ENGENHARIA E MANUTENCAO LTDA,45654990000110,"Laudo de insalubridade - 05/26 - Maio 2026:  

Após a regularização de CCT, PCMSO/PGR, será realizada nova análise. Documentos devem estar alinhados com a mesma localidade, onde é realizado serviços, e alocados os colaboradores cobertos pela proteção dos programas de segurança.",Laudo de insalubridade,APROVADO,05/26 - Maio 2026
PROTOS ENGENHARIA LTDA,24204038000144,"Comprovante de Inscrição Sintegra, Solicitamos o envio do comprovante do Sintegra atualizado para a conclusão da análise.",Comprovante de Inscrição Sintegra,APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"PCMSO, Após o envio do PGR será realizada a análise.  Toda assinatura digital necessita ter o relatório de assinatura digital.",PCMSO - GERAL,APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"DCTFWEB, Consertar as contas: Como o sistema calculou as horas extras do jeito errado (fora do que o sindicato manda), a base do INSS também foi enviada errada. O imposto cobrado ficou errado.
 precisa corrigir essa fórmula no sistema da folha, reabrir e enviar tudo de novo para o eSocial. Depois, é só gerar uma nova guia (DCTFWeb) corrigida para pagar a diferença do imposto que faltou.",DCTFWEB,APROVADO,
TOP SERVICE SERVICOS E SISTEMAS S/A,00973749001863,"Comprovante de Inscrição Sintegra , deve ser enviado o documento solicitado.",Comprovante de Inscrição Sintegra,APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"FOPAG - (FOLHA DE PAGAMENTO + RESUMO), Horas Extras e DSR: Adequar a fórmula de cálculo ao item 11.1 da CCT, garantindo que o adicional de horas extras com o reflexo fixo de 25% do DSR atinja exatamente os totais exigidos de 100% (dias úteis) e 150% (domingos e feriados).
Integração e eSocial: Corrigir a exportação dos dados. A folha possui dezenas de funcionários, mas a guia de FGTS gerada só incluiu 3 trabalhadores, indicando falta de sincronização.",FOPAG - (FOLHA DE PAGAMENTO + RESUMO),APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS, O documento está incompleto. Falta incluir o rodapé ou a segunda página da certidão federal, que contém as seguintes informações essenciais para que ela tenha validade jurídica:
Data e hora de emissão;
Prazo de validade (data limite);
Código de controle de autenticidade para verificação no site da Receita Federal.
Sem esses dados, não é possível validar o documento. O ajuste é anexá-lo por completo ou emitir uma nova via no site da RFB.",CERTIDÃO NEGATIVA DE DÉBITOS DOS TRIBUTOS FEDERAIS,APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"CONVENÇÃO COLETIVA DA CATEGORIA, A CCT precisa de ajustes em quatro pontos:  Maternidade: Unificar as cláusulas 51 e 52, que se contradizem sobre as regras da licença de 180 dias. 
  Corrigir o erro de digitação ""USO"" para ""USD"" (dólares) nas diárias internacionais. 
  Corrigir a falta do item ""(i)"" na regra do ponto eletrônico e a numeração repetida do artigo 11. 
  Ajustar o item 23.2, que cita incorretamente o ""item 21.1"" em vez do 23.1.",CONVENÇÃO COLETIVA DA CATEGORIA GERAL,APROVADO,
FOKUS CONSULTORIA LTDA,52176523000197,"COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS - 02/26 - Fevereiro 2026, Enviar os documentos do mesmo mês: Fornecer os comprovantes bancários de Janeiro/2026 (pagos no início de fevereiro) ou, alternativamente, enviar a FOPAG, GFD e DCTFWeb referentes a Fevereiro/2026.
Justificar valores baixos: Verificar se transferências como a de R$ 200,00 tratam-se de salários proporcionais (admissão/demissão no mês), adiantamentos ou se há um erro operacional no lote do Sispag.",COMPROVANTE BANCÁRIO DE PAGAMENTO DOS SALÁRIOS,APROVADO,02/26 - Fevereiro 2026
ALPES ENGENHARIA LTDA,04812571000181,"PCMSO: Documento não aprovado devido ao prazo de vigência. Conforme a NR-7, o planejamento médico exige renovação e elaboração de relatório analítico no mínimo uma vez por ano.",PCMSO - GERAL,APROVADO,
ALPES ENGENHARIA LTDA,04812571000181,"PGR: . Para garantir a cobertura legal perante auditorias de subprestadores, exige-se a apresentação da revisão técnica atualizada do PGR, acompanhada de seu cronograma de ações para o ciclo vigente.",PGR - GERAL,APROVADO,
METAL M.I.B. LTDA,03772367000111,"GFD - GUIA DO FGTS DIGITAL MENSAL - 04/26 - Abril 2026.


Necessário inclusão da CCT, para a devida análise de cálculos. Após a inclusão será feita nova análise.",GFD - GUIA DO FGTS DIGITAL MENSAL,APROVADO,04/26 - Abril 2026
GRABER SEGURANCA LTDA,87169900001117,"PGR, Sem Plano de Ação, 1.5.5.2.1 A organização deve elaborar plano de ação, indicando as medidas de prevenção a serem
introduzidas, aprimoradas ou mantidas, conforme o subitem 1.5.4.4.5.",PGR - GERAL,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PCMSO, Após o ajuste do PGR será realizado o de para do PCMSO, PCMSO deve constar a assinatura do médico coordenador.",PCMSO - GERAL,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento, Caso a empresa se enquadre na obrigatoriedade de constituição da CIPA, conforme o Quadro I da NR-05, deve apresentar a ata de constituição ou eleição, os certificados de treinamento dos membros e documento que comprove o número de empregados. Caso não se enquadre, deve apresentar o documento de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"Laudo de Periculosidade, deve ser enviado o documento solicitado.",Laudo de Periculosidade,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"Laudo de insalubridade, deve ser enviado o documento solicitado.",Laudo de insalubridade,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento,  Caso não se enquadre, deve apresentar o documento formal de designação do empregado responsável, o certificado de treinamento do designado e documento que comprove o número de empregados.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,
GRABER SEGURANCA LTDA,87169900001117,"PCMSO, Deve ser enviado o documento solicitado.",PCMSO - GERAL,APROVADO,03/26 - Março 2026
GRABER SEGURANCA LTDA,87169900001117,"PGR, Deve ser enviado o documento solicitado.",PGR - GERAL,APROVADO,03/26 - Março 2026
GRABER SEGURANCA LTDA,87169900001117,"PGR - 05/26 - Maio 2026: 

O PGR foi reprovado devido a desalinhamento com o PCMSO. O texto cita incorretamente a empresa NOV como local da prestação de serviços, diverge no headcount total (indica 10 funcionários, enquanto o PCMSO cita 15/16) e confunde as atribuições ao descrever a rotina de Porteiro para a função exclusiva de Vigilante. Há também erros nas datas de validade do cabeçalho e alteração inexplicável nos códigos do documento.",PGR - GERAL,APROVADO,05/26 - Maio 2026
GRABER SEGURANCA LTDA,87169900001117,"PCMSO - 05/26 - Maio 2026:
O PCMSO foi reprovado por inconsistências formais e cadastrais graves. Apresenta divergência na identificação do médico coordenador (nomes e CRMs distintos nas páginas 5 e 7), erro anacrônico no cronograma anual de metas (programado para o ano retroativo de 2023) e conflito no headcount de colaboradores (indicando 15 funcionários na caracterização e 16 na planilha do GHE 01). Além disso, cita obrigatoriedades da NR-32, norma incompatível com a atividade de segurança da",PCMSO - GERAL,APROVADO,05/26 - Maio 2026
GRABER SEGURANCA LTDA,87169900001117,"CIPA - composição / reuniões / atas/ treinamento - 05/26 - Maio 2026

Ausência do certificado de treinamento do funcionário.",CIPA - composição / reuniões / atas/ treinamento,APROVADO,05/26 - Maio 2026
GRABER SEGURANCA LTDA,87169900001117,"Laudo de Periculosidade - 12/25 - Dezembro 2025


 (Item 4.3) - Cita textualmente uma terceira empresa (Sunset Vigilância) e confunde os papéis de contratante e contratada.

 ART - A guia foi emitida em nome de outra pessoa jurídica (Top Service S.A.) e consta apenas como Rascunho (sem comprovante de pagamento junto ao CREA-RJ).

O documento perde a validade jurídica para a Graber e descumpre os requisitos formais de habilitação técnica da NR 16.3 e do Art. 195.",Laudo de Periculosidade,APROVADO,12/25 - Dezembro 2025
GRABER SEGURANCA LTDA,87169900001117,"Laudo de insalubridade - 12/25 - Dezembro 2025

Documento em anexo apresenta erro e não abre.",Laudo de insalubridade,APROVADO,12/25 - Dezembro 2025
